2018-04-26 16:00:13,948 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MqttClient:MqttClient:0.0.1-SNAPSHOT @ C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\pom.xml.
2018-04-26 16:00:19,443 [Worker-25] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 6 sec
2018-04-26 16:00:19,678 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:00:19,698 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\main\resources
2018-04-26 16:00:19,707 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:00:19,721 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\test\resources
2018-04-26 16:02:45,337 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:02:45,503 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\main\resources
2018-04-26 16:02:45,507 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:02:45,537 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\test\resources
2018-04-26 16:06:25,576 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:06:25,686 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\main\resources
2018-04-26 16:06:25,714 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:06:25,734 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\test\resources
2018-04-26 16:09:16,457 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:09:16,578 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\main\resources
2018-04-26 16:09:16,611 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:09:16,627 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\test\resources
2018-04-26 16:13:52,040 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:13:52,123 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\main\resources
2018-04-26 16:13:52,154 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:13:52,169 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\test\resources
2018-04-26 16:13:56,364 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:13:56,373 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\main\resources
2018-04-26 16:13:56,375 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:13:56,391 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\test\resources
2018-04-26 16:43:07,852 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:43:07,959 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\main\resources
2018-04-26 16:43:07,970 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:43:07,994 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\test\resources
2018-04-26 16:43:18,275 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:43:18,293 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\main\resources
